# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7839 h/Mpc,
# number of wavenumbers equal to 6856
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.690176322581e-05       1.989354635336e+07       1.989354514257e+07       2.648804625775e+07       0.000000000000e+00       1.989538368009e+07       6.161317269024e+06 
       1.754484352890e-05       1.989354200389e+07       1.989354069924e+07       2.648519793473e+07       0.000000000000e+00       1.989537766835e+07       6.161315745629e+06 
       1.818803917109e-05       1.989353749125e+07       1.989353608922e+07       2.648224301993e+07       0.000000000000e+00       1.989537143106e+07       6.161314165096e+06 
       1.883135445977e-05       1.989353281531e+07       1.989353131238e+07       2.647918146816e+07       0.000000000000e+00       1.989536496805e+07       6.161312527388e+06 
       1.947479370496e-05       1.989352797597e+07       1.989352636861e+07       2.647601323258e+07       0.000000000000e+00       1.989535827917e+07       6.161310832463e+06 
       2.011836121941e-05       1.989352297310e+07       1.989352125779e+07       2.647273826468e+07       0.000000000000e+00       1.989535136423e+07       6.161309080281e+06 
       2.076206131869e-05       1.989351780657e+07       1.989351597978e+07       2.646935651432e+07       0.000000000000e+00       1.989534422307e+07       6.161307270799e+06 
       2.140589832128e-05       1.989351247625e+07       1.989351053445e+07       2.646586792969e+07       0.000000000000e+00       1.989533685550e+07       6.161305403974e+06 
       2.204987654867e-05       1.989350698201e+07       1.989350492167e+07       2.646227245731e+07       0.000000000000e+00       1.989532926133e+07       6.161303479759e+06 
       2.269400032548e-05       1.989350132370e+07       1.989349914129e+07       2.645857004208e+07       0.000000000000e+00       1.989532144037e+07       6.161301498108e+06 
