# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08122e-07 to 53.7659 h/Mpc,
# number of wavenumbers equal to 6850
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       5.339594477107e-05       1.988773328460e+07       1.988772124783e+07       2.615309360531e+07       0.000000000000e+00       2.016307793133e+07       6.162485951012e+06 
       5.405456351801e-05       1.988771924307e+07       1.988770690831e+07       2.614410173003e+07       0.000000000000e+00       2.016305781954e+07       6.162481036534e+06 
       5.471354935911e-05       1.988770502189e+07       1.988769238537e+07       2.613499741949e+07       0.000000000000e+00       2.016303745028e+07       6.162476059322e+06 
       5.537290695048e-05       1.988769062070e+07       1.988767767861e+07       2.612578053399e+07       0.000000000000e+00       2.016301682302e+07       6.162471019251e+06 
       5.603264095659e-05       1.988767603911e+07       1.988766278767e+07       2.611645093218e+07       0.000000000000e+00       2.016299593720e+07       6.162465916193e+06 
       5.669275605045e-05       1.988766127674e+07       1.988764771214e+07       2.610700847105e+07       0.000000000000e+00       2.016297479228e+07       6.162460750020e+06 
       5.735325691368e-05       1.988764633321e+07       1.988763245164e+07       2.609745300591e+07       0.000000000000e+00       2.016295338768e+07       6.162455520603e+06 
       5.801414823661e-05       1.988763120812e+07       1.988761700577e+07       2.608778439037e+07       0.000000000000e+00       2.016293172285e+07       6.162450227810e+06 
       5.867543471843e-05       1.988761590108e+07       1.988760137411e+07       2.607800247643e+07       0.000000000000e+00       2.016290979720e+07       6.162444871507e+06 
       5.933712106724e-05       1.988760041167e+07       1.988758555626e+07       2.606810711437e+07       0.000000000000e+00       2.016288761015e+07       6.162439451559e+06 
       5.999921200024e-05       1.988758473951e+07       1.988756955181e+07       2.605809815284e+07       0.000000000000e+00       2.016286516111e+07       6.162433967829e+06 
       6.066171224374e-05       1.988756888416e+07       1.988755336033e+07       2.604797543879e+07       0.000000000000e+00       2.016284244949e+07       6.162428420178e+06 
       6.132462653338e-05       1.988755284522e+07       1.988753698140e+07       2.603773881752e+07       0.000000000000e+00       2.016281947467e+07       6.162422808468e+06 
       6.198795961416e-05       1.988753662226e+07       1.988752041458e+07       2.602738813267e+07       0.000000000000e+00       2.016279623605e+07       6.162417132555e+06 
       6.265171624058e-05       1.988752021486e+07       1.988750365945e+07       2.601692322621e+07       0.000000000000e+00       2.016277273299e+07       6.162411392296e+06 
       6.331590117676e-05       1.988750362257e+07       1.988748671556e+07       2.600634393843e+07       0.000000000000e+00       2.016274896489e+07       6.162405587547e+06 
       6.398051919653e-05       1.988748684497e+07       1.988746958247e+07       2.599565010799e+07       0.000000000000e+00       2.016272493109e+07       6.162399718159e+06 
       6.464557508358e-05       1.988746988160e+07       1.988745225972e+07       2.598484157186e+07       0.000000000000e+00       2.016270063096e+07       6.162393783984e+06 
       6.531107363152e-05       1.988745273202e+07       1.988743474685e+07       2.597391816535e+07       0.000000000000e+00       2.016267606385e+07       6.162387784871e+06 
       6.597701964404e-05       1.988743539577e+07       1.988741704340e+07       2.596287972213e+07       0.000000000000e+00       2.016265122910e+07       6.162381720669e+06 
       6.664341793501e-05       1.988741787240e+07       1.988739914892e+07       2.595172607420e+07       0.000000000000e+00       2.016262612603e+07       6.162375591223e+06 
       6.731027332857e-05       1.988740016144e+07       1.988738106291e+07       2.594045705188e+07       0.000000000000e+00       2.016260075399e+07       6.162369396377e+06 
       6.797759065929e-05       1.988738226242e+07       1.988736278491e+07       2.592907248387e+07       0.000000000000e+00       2.016257511228e+07       6.162363135975e+06 
       6.864537477223e-05       1.988736417487e+07       1.988734431442e+07       2.591757219719e+07       0.000000000000e+00       2.016254920022e+07       6.162356809856e+06 
       6.931363052312e-05       1.988734589829e+07       1.988732565097e+07       2.590595601720e+07       0.000000000000e+00       2.016252301711e+07       6.162350417860e+06 
       6.998236277840e-05       1.988732743222e+07       1.988730679405e+07       2.589422376764e+07       0.000000000000e+00       2.016249656224e+07       6.162343959823e+06 
       7.065157641541e-05       1.988730877615e+07       1.988728774317e+07       2.588237527056e+07       0.000000000000e+00       2.016246983491e+07       6.162337435582e+06 
       7.132127632245e-05       1.988728992959e+07       1.988726849781e+07       2.587041034637e+07       0.000000000000e+00       2.016244283439e+07       6.162330844969e+06 
       7.199146739892e-05       1.988727089204e+07       1.988724905747e+07       2.585832881383e+07       0.000000000000e+00       2.016241555996e+07       6.162324187816e+06 
       7.266215455545e-05       1.988725166299e+07       1.988722942163e+07       2.584613049008e+07       0.000000000000e+00       2.016238801087e+07       6.162317463954e+06 
       7.333334271399e-05       1.988723224192e+07       1.988720958977e+07       2.583381519056e+07       0.000000000000e+00       2.016236018639e+07       6.162310673210e+06 
       7.400503680795e-05       1.988721262832e+07       1.988718956136e+07       2.582138272910e+07       0.000000000000e+00       2.016233208575e+07       6.162303815410e+06 
       7.467724178228e-05       1.988719282166e+07       1.988716933587e+07       2.580883291789e+07       0.000000000000e+00       2.016230370821e+07       6.162296890380e+06 
       7.534996259366e-05       1.988717282142e+07       1.988714891275e+07       2.579616556745e+07       0.000000000000e+00       2.016227505299e+07       6.162289897941e+06 
       7.602320421055e-05       1.988715262705e+07       1.988712829146e+07       2.578338048668e+07       0.000000000000e+00       2.016224611932e+07       6.162282837914e+06 
       7.669697161334e-05       1.988713223801e+07       1.988710747145e+07       2.577047748284e+07       0.000000000000e+00       2.016221690641e+07       6.162275710119e+06 
       7.737126979447e-05       1.988711165377e+07       1.988708645216e+07       2.575745636155e+07       0.000000000000e+00       2.016218741346e+07       6.162268514372e+06 
       7.804610375853e-05       1.988709087376e+07       1.988706523303e+07       2.574431692678e+07       0.000000000000e+00       2.016215763968e+07       6.162261250488e+06 
       7.872147852242e-05       1.988706989742e+07       1.988704381350e+07       2.573105898090e+07       0.000000000000e+00       2.016212758425e+07       6.162253918280e+06 
       7.939739911544e-05       1.988704872421e+07       1.988702219298e+07       2.571768232462e+07       0.000000000000e+00       2.016209724637e+07       6.162246517560e+06 
       8.007387057940e-05       1.988702735353e+07       1.988700037090e+07       2.570418675702e+07       0.000000000000e+00       2.016206662519e+07       6.162239048137e+06 
       8.075089796879e-05       1.988700578482e+07       1.988697834667e+07       2.569057207557e+07       0.000000000000e+00       2.016203571989e+07       6.162231509819e+06 
       8.142848635085e-05       1.988698401750e+07       1.988695611970e+07       2.567683807612e+07       0.000000000000e+00       2.016200452962e+07       6.162223902411e+06 
       8.210664080572e-05       1.988696205098e+07       1.988693368940e+07       2.566298455286e+07       0.000000000000e+00       2.016197305354e+07       6.162216225717e+06 
       8.278536642658e-05       1.988693988466e+07       1.988691105515e+07       2.564901129839e+07       0.000000000000e+00       2.016194129078e+07       6.162208479538e+06 
       8.346466831972e-05       1.988691751795e+07       1.988688821635e+07       2.563491810369e+07       0.000000000000e+00       2.016190924046e+07       6.162200663675e+06 
       8.414455160473e-05       1.988689495025e+07       1.988686517238e+07       2.562070475812e+07       0.000000000000e+00       2.016187690173e+07       6.162192777924e+06 
       8.482502141457e-05       1.988687218093e+07       1.988684192262e+07       2.560637104941e+07       0.000000000000e+00       2.016184427367e+07       6.162184822083e+06 
       8.550608289572e-05       1.988684920939e+07       1.988681846645e+07       2.559191676372e+07       0.000000000000e+00       2.016181135542e+07       6.162176795944e+06 
       8.618774120831e-05       1.988682603500e+07       1.988679480322e+07       2.557734168555e+07       0.000000000000e+00       2.016177814605e+07       6.162168699300e+06 
       8.687000152624e-05       1.988680265714e+07       1.988677093230e+07       2.556264559783e+07       0.000000000000e+00       2.016174464465e+07       6.162160531940e+06 
       8.755286903729e-05       1.988677907516e+07       1.988674685304e+07       2.554782828189e+07       0.000000000000e+00       2.016171085032e+07       6.162152293652e+06 
       8.823634894328e-05       1.988675528842e+07       1.988672256480e+07       2.553288951743e+07       0.000000000000e+00       2.016167676210e+07       6.162143984223e+06 
       8.892044646017e-05       1.988673129629e+07       1.988669806690e+07       2.551782908258e+07       0.000000000000e+00       2.016164237907e+07       6.162135603436e+06 
       8.960516681820e-05       1.988670709810e+07       1.988667335869e+07       2.550264675387e+07       0.000000000000e+00       2.016160770028e+07       6.162127151072e+06 
       9.029051526202e-05       1.988668269319e+07       1.988664843949e+07       2.548734230623e+07       0.000000000000e+00       2.016157272476e+07       6.162118626912e+06 
       9.097649705080e-05       1.988665808091e+07       1.988662330863e+07       2.547191551302e+07       0.000000000000e+00       2.016153745156e+07       6.162110030733e+06 
       9.166311745840e-05       1.988663326057e+07       1.988659796542e+07       2.545636614600e+07       0.000000000000e+00       2.016150187969e+07       6.162101362310e+06 
       9.235038177345e-05       1.988660823150e+07       1.988657240917e+07       2.544069397536e+07       0.000000000000e+00       2.016146600818e+07       6.162092621418e+06 
       9.303829529951e-05       1.988658299302e+07       1.988654663919e+07       2.542489876969e+07       0.000000000000e+00       2.016142983602e+07       6.162083807828e+06 
       9.372686335522e-05       1.988655754442e+07       1.988652065476e+07       2.540898029605e+07       0.000000000000e+00       2.016139336222e+07       6.162074921309e+06 
       9.441609127438e-05       1.988653188503e+07       1.988649445519e+07       2.539293831989e+07       0.000000000000e+00       2.016135658576e+07       6.162065961628e+06 
       9.510598440612e-05       1.988650601412e+07       1.988646803975e+07       2.537677260512e+07       0.000000000000e+00       2.016131950562e+07       6.162056928550e+06 
       9.579654811501e-05       1.988647993099e+07       1.988644140772e+07       2.536048291407e+07       0.000000000000e+00       2.016128212076e+07       6.162047821839e+06 
       9.648778778123e-05       1.988645363493e+07       1.988641455837e+07       2.534406900751e+07       0.000000000000e+00       2.016124443015e+07       6.162038641256e+06 
       9.717970880065e-05       1.988642712520e+07       1.988638749097e+07       2.532753064469e+07       0.000000000000e+00       2.016120643274e+07       6.162029386559e+06 
       9.787231658503e-05       1.988640040109e+07       1.988636020476e+07       2.531086758326e+07       0.000000000000e+00       2.016116812746e+07       6.162020057504e+06 
       9.856561656207e-05       1.988637346185e+07       1.988633269901e+07       2.529407957937e+07       0.000000000000e+00       2.016112951325e+07       6.162010653846e+06 
       9.925961417563e-05       1.988634630673e+07       1.988630497295e+07       2.527716638760e+07       0.000000000000e+00       2.016109058903e+07       6.162001175338e+06 
       9.995431488582e-05       1.988631893500e+07       1.988627702582e+07       2.526012776100e+07       0.000000000000e+00       2.016105135370e+07       6.161991621728e+06 
       1.006497241691e-04       1.988629134588e+07       1.988624885686e+07       2.524296345110e+07       0.000000000000e+00       2.016101180617e+07       6.161981992766e+06 
       1.013458475186e-04       1.988626353863e+07       1.988622046528e+07       2.522567320788e+07       0.000000000000e+00       2.016097194532e+07       6.161972288197e+06 
       1.020426904440e-04       1.988623551246e+07       1.988619185029e+07       2.520825677983e+07       0.000000000000e+00       2.016093177005e+07       6.161962507763e+06 
       1.027402584717e-04       1.988620726660e+07       1.988616301112e+07       2.519071391390e+07       0.000000000000e+00       2.016089127921e+07       6.161952651207e+06 
       1.034385571452e-04       1.988617880027e+07       1.988613394695e+07       2.517304435554e+07       0.000000000000e+00       2.016085047167e+07       6.161942718267e+06 
       1.041375920252e-04       1.988615011267e+07       1.988610465699e+07       2.515524784867e+07       0.000000000000e+00       2.016080934629e+07       6.161932708679e+06 
       1.048373686892e-04       1.988612120301e+07       1.988607514043e+07       2.513732413573e+07       0.000000000000e+00       2.016076790190e+07       6.161922622178e+06 
       1.055378927325e-04       1.988609207048e+07       1.988604539644e+07       2.511927295767e+07       0.000000000000e+00       2.016072613733e+07       6.161912458496e+06 
       1.062391697678e-04       1.988606271427e+07       1.988601542419e+07       2.510109405394e+07       0.000000000000e+00       2.016068405141e+07       6.161902217363e+06 
       1.069412054252e-04       1.988603313356e+07       1.988598522286e+07       2.508278716250e+07       0.000000000000e+00       2.016064164293e+07       6.161891898506e+06 
       1.076440053529e-04       1.988600332753e+07       1.988595479161e+07       2.506435201984e+07       0.000000000000e+00       2.016059891071e+07       6.161881501651e+06 
       1.083475752169e-04       1.988597329533e+07       1.988592412958e+07       2.504578836098e+07       0.000000000000e+00       2.016055585353e+07       6.161871026519e+06 
       1.090519207012e-04       1.988594303613e+07       1.988589323591e+07       2.502709591947e+07       0.000000000000e+00       2.016051247017e+07       6.161860472831e+06 
       1.097570475082e-04       1.988591254909e+07       1.988586210976e+07       2.500827442739e+07       0.000000000000e+00       2.016046875939e+07       6.161849840306e+06 
       1.104629613585e-04       1.988588183334e+07       1.988583075024e+07       2.498932361539e+07       0.000000000000e+00       2.016042471996e+07       6.161839128659e+06 
       1.111696679914e-04       1.988585088803e+07       1.988579915648e+07       2.497024321266e+07       0.000000000000e+00       2.016038035062e+07       6.161828337604e+06 
       1.118771731645e-04       1.988581971228e+07       1.988576732759e+07       2.495103294694e+07       0.000000000000e+00       2.016033565011e+07       6.161817466851e+06 
       1.125854826546e-04       1.988578830521e+07       1.988573526269e+07       2.493169254456e+07       0.000000000000e+00       2.016029061714e+07       6.161806516108e+06 
       1.132946022573e-04       1.988575666595e+07       1.988570296086e+07       2.491222173042e+07       0.000000000000e+00       2.016024525044e+07       6.161795485082e+06 
       1.140045377872e-04       1.988572479360e+07       1.988567042121e+07       2.489262022798e+07       0.000000000000e+00       2.016019954871e+07       6.161784373476e+06 
       1.147152950782e-04       1.988569268725e+07       1.988563764282e+07       2.487288775931e+07       0.000000000000e+00       2.016015351064e+07       6.161773180992e+06 
       1.154268799837e-04       1.988566034601e+07       1.988560462476e+07       2.485302404508e+07       0.000000000000e+00       2.016010713491e+07       6.161761907328e+06 
       1.161392983765e-04       1.988562776896e+07       1.988557136610e+07       2.483302880455e+07       0.000000000000e+00       2.016006042019e+07       6.161750552180e+06 
       1.168525561492e-04       1.988559495517e+07       1.988553786591e+07       2.481290175560e+07       0.000000000000e+00       2.016001336513e+07       6.161739115242e+06 
       1.175666592141e-04       1.988556190371e+07       1.988550412324e+07       2.479264261474e+07       0.000000000000e+00       2.015996596839e+07       6.161727596204e+06 
       1.182816135037e-04       1.988552861365e+07       1.988547013712e+07       2.477225109709e+07       0.000000000000e+00       2.015991822860e+07       6.161715994757e+06 
       1.189974249704e-04       1.988549508403e+07       1.988543590661e+07       2.475172691641e+07       0.000000000000e+00       2.015987014439e+07       6.161704310585e+06 
       1.197140995872e-04       1.988546131392e+07       1.988540143073e+07       2.473106978513e+07       0.000000000000e+00       2.015982171436e+07       6.161692543372e+06 
       1.204316433472e-04       1.988542730233e+07       1.988536670850e+07       2.471027941432e+07       0.000000000000e+00       2.015977293712e+07       6.161680692800e+06 
       1.211500622645e-04       1.988539304831e+07       1.988533173894e+07       2.468935551370e+07       0.000000000000e+00       2.015972381126e+07       6.161668758546e+06 
       1.218693623736e-04       1.988535855087e+07       1.988529652105e+07       2.466829779168e+07       0.000000000000e+00       2.015967433535e+07       6.161656740286e+06 
