# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08097e-07 to 53.7894 h/Mpc,
# number of wavenumbers equal to 6855
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.013144547550e-05       1.989363418509e+07       1.989363246790e+07       2.647281726236e+07       0.000000000000e+00       1.988991257689e+07       6.161282902668e+06 
       2.077557045259e-05       1.989362902492e+07       1.989362719613e+07       2.646943099134e+07       0.000000000000e+00       1.988990553077e+07       6.161281095875e+06 
       2.141983260166e-05       1.989362370117e+07       1.989362175724e+07       2.646593774179e+07       0.000000000000e+00       1.988989826125e+07       6.161279231822e+06 
       2.206423625279e-05       1.989361821368e+07       1.989361615108e+07       2.646233746011e+07       0.000000000000e+00       1.988989076814e+07       6.161277310465e+06 
       2.270878573916e-05       1.989361256234e+07       1.989361037753e+07       2.645863009103e+07       0.000000000000e+00       1.988988305125e+07       6.161275331756e+06 
       2.335348539717e-05       1.989360674698e+07       1.989360443642e+07       2.645481557764e+07       0.000000000000e+00       1.988987511039e+07       6.161273295647e+06 
       2.399833956655e-05       1.989360076748e+07       1.989359832761e+07       2.645089386134e+07       0.000000000000e+00       1.988986694534e+07       6.161271202088e+06 
       2.464335259042e-05       1.989359462366e+07       1.989359205095e+07       2.644686488190e+07       0.000000000000e+00       1.988985855591e+07       6.161269051028e+06 
       2.528852881542e-05       1.989358831538e+07       1.989358560628e+07       2.644272857742e+07       0.000000000000e+00       1.988984994186e+07       6.161266842415e+06 
       2.593387259179e-05       1.989358184247e+07       1.989357899342e+07       2.643848488433e+07       0.000000000000e+00       1.988984110299e+07       6.161264576195e+06 
       2.657938827348e-05       1.989357520478e+07       1.989357221223e+07       2.643413373741e+07       0.000000000000e+00       1.988983203907e+07       6.161262252312e+06 
       2.722508021824e-05       1.989356840213e+07       1.989356526251e+07       2.642967506979e+07       0.000000000000e+00       1.988982274985e+07       6.161259870710e+06 
       2.787095278770e-05       1.989356143434e+07       1.989355814410e+07       2.642510881292e+07       0.000000000000e+00       1.988981323511e+07       6.161257431330e+06 
       2.851701034752e-05       1.989355430125e+07       1.989355085681e+07       2.642043489661e+07       0.000000000000e+00       1.988980349460e+07       6.161254934112e+06 
       2.916325726743e-05       1.989354700266e+07       1.989354340046e+07       2.641565324899e+07       0.000000000000e+00       1.988979352806e+07       6.161252378996e+06 
       2.980969792136e-05       1.989353953840e+07       1.989353577487e+07       2.641076379655e+07       0.000000000000e+00       1.988978333523e+07       6.161249765919e+06 
       3.045633668753e-05       1.989353190827e+07       1.989352797982e+07       2.640576646411e+07       0.000000000000e+00       1.988977291587e+07       6.161247094816e+06 
       3.110317794856e-05       1.989352411208e+07       1.989352001514e+07       2.640066117483e+07       0.000000000000e+00       1.988976226969e+07       6.161244365623e+06 
       3.175022609155e-05       1.989351614962e+07       1.989351188060e+07       2.639544785021e+07       0.000000000000e+00       1.988975139642e+07       6.161241578272e+06 
       3.239748550819e-05       1.989350802070e+07       1.989350357602e+07       2.639012641009e+07       0.000000000000e+00       1.988974029578e+07       6.161238732695e+06 
       3.304496059485e-05       1.989349972510e+07       1.989349510117e+07       2.638469677266e+07       0.000000000000e+00       1.988972896749e+07       6.161235828822e+06 
       3.369265575269e-05       1.989349126262e+07       1.989348645583e+07       2.637915885443e+07       0.000000000000e+00       1.988971741125e+07       6.161232866581e+06 
       3.434057538776e-05       1.989348263303e+07       1.989347763980e+07       2.637351257028e+07       0.000000000000e+00       1.988970562676e+07       6.161229845901e+06 
       3.498872391110e-05       1.989347383612e+07       1.989346865283e+07       2.636775783340e+07       0.000000000000e+00       1.988969361371e+07       6.161226766706e+06 
       3.563710573881e-05       1.989346487166e+07       1.989345949471e+07       2.636189455533e+07       0.000000000000e+00       1.988968137180e+07       6.161223628921e+06 
       3.628572529221e-05       1.989345573943e+07       1.989345016520e+07       2.635592264596e+07       0.000000000000e+00       1.988966890071e+07       6.161220432469e+06 
       3.693458699787e-05       1.989344643917e+07       1.989344066405e+07       2.634984201352e+07       0.000000000000e+00       1.988965620011e+07       6.161217177271e+06 
       3.758369528776e-05       1.989343697067e+07       1.989343099103e+07       2.634365256455e+07       0.000000000000e+00       1.988964326968e+07       6.161213863247e+06 
       3.823305459934e-05       1.989342733367e+07       1.989342114590e+07       2.633735420398e+07       0.000000000000e+00       1.988963010907e+07       6.161210490315e+06 
       3.888266937566e-05       1.989341752793e+07       1.989341112838e+07       2.633094683504e+07       0.000000000000e+00       1.988961671795e+07       6.161207058392e+06 
       3.953254406543e-05       1.989340755319e+07       1.989340093824e+07       2.632443035931e+07       0.000000000000e+00       1.988960309598e+07       6.161203567393e+06 
       4.018268312318e-05       1.989339740920e+07       1.989339057521e+07       2.631780467673e+07       0.000000000000e+00       1.988958924279e+07       6.161200017233e+06 
       4.083309100931e-05       1.989338709570e+07       1.989338003902e+07       2.631106968555e+07       0.000000000000e+00       1.988957515802e+07       6.161196407823e+06 
       4.148377219020e-05       1.989337661242e+07       1.989336932940e+07       2.630422528239e+07       0.000000000000e+00       1.988956084131e+07       6.161192739075e+06 
       4.213473113836e-05       1.989336595909e+07       1.989335844608e+07       2.629727136218e+07       0.000000000000e+00       1.988954629229e+07       6.161189010898e+06 
       4.278597233246e-05       1.989335513544e+07       1.989334738877e+07       2.629020781823e+07       0.000000000000e+00       1.988953151058e+07       6.161185223200e+06 
       4.343750025747e-05       1.989334414119e+07       1.989333615720e+07       2.628303454215e+07       0.000000000000e+00       1.988951649578e+07       6.161181375886e+06 
       4.408931940478e-05       1.989333297606e+07       1.989332475108e+07       2.627575142391e+07       0.000000000000e+00       1.988950124752e+07       6.161177468863e+06 
       4.474143427225e-05       1.989332163974e+07       1.989331317010e+07       2.626835835184e+07       0.000000000000e+00       1.988948576539e+07       6.161173502032e+06 
       4.539384936437e-05       1.989331013197e+07       1.989330141398e+07       2.626085521257e+07       0.000000000000e+00       1.988947004899e+07       6.161169475297e+06 
       4.604656919232e-05       1.989329845243e+07       1.989328948240e+07       2.625324189111e+07       0.000000000000e+00       1.988945409790e+07       6.161165388556e+06 
       4.669959827409e-05       1.989328660082e+07       1.989327737507e+07       2.624551827078e+07       0.000000000000e+00       1.988943791172e+07       6.161161241710e+06 
       4.735294113461e-05       1.989327457685e+07       1.989326509167e+07       2.623768423328e+07       0.000000000000e+00       1.988942149001e+07       6.161157034654e+06 
